placeDcid,placeName,Value:Median_Income_Household,Value:Count_Person_18OrMoreYears,Value:Count_Person_NeverMarried,Value:Count_Person_MarriedAndNotSeparated,Store_Present
zip/11735,11735,127059,6900,2200,3400,0
zip/11010,11010,136378,20406,6210,12012,0
zip/11020,11020,173345,4879,1643,3101,0
zip/11021,11021,111777,15714,4616,8678,0
zip/11023,11023,146563,6514,1451,4623,0
zip/11024,11024,160273,6064,2349,3668,0
zip/11030,11030,232821,12702,3239,9092,0
zip/11042,11042,,317,66,41,0
zip/11050,11050,152020,24055,5982,15263,0
zip/11096,11096,72348,6981,2978,3030,0
zip/11501,11501,130208,17638,5175,10390,0
zip/11507,11507,145833,5794,1700,3607,0
zip/11509,11509,155925,1407,259,944,0
zip/11510,11510,135693,27963,11018,14205,0
zip/11514,11514,110865,3584,1297,2000,0
zip/11516,11516,98333,6067,2183,3387,0
zip/11518,11518,110280,8118,2987,4263,0
zip/11520,11520,110152,35534,14941,15040,0
zip/11530,11530,186300,21355,6720,13461,1
zip/11542,11542,91774,23653,9166,11256,0
zip/11545,11545,164306,9305,2506,5977,0
zip/11547,11547,48636,478,142,246,0
zip/11548,11548,102188,2027,1270,652,0
zip/11549,11549,,2442,2485,11,0
zip/11550,11550,83333,46644,24819,16071,0
zip/11552,11552,147468,19480,7883,10044,0
zip/11553,11553,102066,21585,10837,8403,0
zip/11554,11554,129268,29277,8597,16944,0
zip/11556,11556,,,,,0
zip/11557,11557,162266,6110,2080,4063,0
zip/11558,11558,104253,7244,2710,3652,0
zip/11559,11559,129732,6254,2238,3512,1
zip/11560,11560,162143,5386,1523,3551,0
zip/11561,11561,130046,33314,12152,15278,0
zip/11563,11563,137828,17663,5384,10083,0
zip/11565,11565,153582,7203,2026,4485,0
zip/11566,11566,172868,26313,7316,17142,0
zip/11568,11568,250001,3667,2120,1503,0
zip/11569,11569,104386,986,274,426,0
zip/11570,11570,149420,21880,7180,12870,0
zip/11572,11572,134615,23774,6400,15093,0
zip/11575,11575,123056,14315,6538,5804,0
zip/11576,11576,224698,10064,2447,7058,0
zip/11577,11577,191607,9358,2403,6259,0
zip/11579,11579,181375,3740,877,2387,0
zip/11580,11580,132632,35933,14229,18337,0
zip/11581,11581,135060,16970,5858,10231,1
zip/11590,11590,133349,37483,14267,19674,0
zip/11596,11596,157273,7922,2398,4963,0
zip/11598,11598,179846,9586,3301,6188,0
zip/11709,11709,136346,5632,1633,3458,0
zip/11710,11710,167039,26872,7875,17402,0
zip/11714,11714,123473,17744,4397,11173,0
zip/11732,11732,116705,2851,718,1636,0
zip/11753,11753,172983,9554,2617,6903,0
zip/11756,11756,141442,34714,11713,20003,0
zip/11758,11758,146410,43763,13338,26309,0
zip/11762,11762,160139,17926,4834,11536,0
zip/11765,11765,250001,521,113,406,0
zip/11771,11771,149577,7889,2608,4468,0
zip/11783,11783,157983,17386,5766,10377,0
zip/11791,11791,190347,18449,4868,13517,0
zip/11793,11793,164773,23899,7298,14465,0
zip/11797,11797,193866,7357,1548,4605,0
zip/11801,11801,138289,34827,11835,19302,1
zip/11803,11803,179197,23444,5869,16054,0
zip/11804,11804,173750,3257,819,2241,0
zip/06390,6390,47708,47,15,24,0
zip/11701,11701,97299,22269,10016,9326,0
zip/11702,11702,134602,11576,3372,6576,0
zip/11703,11703,126027,13756,4550,7591,0
zip/11704,11704,120147,32513,12336,14907,0
zip/11705,11705,139769,6776,1980,4078,0
zip/11706,11706,110965,49818,20074,23023,1
zip/11713,11713,95974,7242,3069,3079,0
zip/11715,11715,141774,3059,794,1982,0
zip/11716,11716,119612,7877,2584,4425,0
zip/11717,11717,111425,50308,24004,20854,0
zip/11718,11718,187581,2280,602,1623,0
zip/11719,11719,110179,2792,970,1418,0
zip/11720,11720,123603,22529,8765,12731,0
zip/11721,11721,204048,5201,1604,3520,0
zip/11722,11722,100387,28034,14121,10184,0
zip/11724,11724,250001,2014,491,1423,0
zip/11725,11725,168786,22507,6836,14326,0
zip/11726,11726,117113,16803,7018,7892,0
zip/11727,11727,93042,24391,8608,11737,0
zip/11729,11729,124704,21337,7543,11497,0
zip/11730,11730,137649,11298,4223,5834,0
zip/11731,11731,151291,24143,7413,13883,0
zip/11733,11733,170074,13487,4103,8468,0
zip/11738,11738,128728,15331,6202,7932,0
zip/11739,11739,164464,1205,438,634,0
zip/11740,11740,144911,8513,2822,4643,0
zip/11741,11741,140334,21567,7389,11795,0
zip/11742,11742,126755,10568,3824,5724,0
zip/11743,11743,164182,33179,10140,19146,0
zip/11746,11746,146150,53356,17310,30714,1
zip/11747,11747,147013,16004,3710,8952,0
zip/11749,11749,109964,2888,907,1414,0
zip/11751,11751,114185,11196,3499,6114,0
zip/11752,11752,147672,7368,2125,4345,0
zip/11754,11754,119929,14645,4787,8113,0
zip/11755,11755,121196,9476,3128,5299,1
zip/11757,11757,117182,36349,12392,18802,0
zip/11763,11763,111296,23166,8645,12490,0
zip/11764,11764,136360,9770,3317,6076,0
zip/11766,11766,146042,8777,2205,6307,0
zip/11767,11767,136375,11459,3697,6860,0
zip/11768,11768,162475,17158,4861,10537,0
zip/11769,11769,122909,7816,2545,4130,0
zip/11770,11770,113750,95,31,39,0
zip/11772,11772,103207,36674,13738,17255,0
zip/11776,11776,120135,18601,6329,10395,0
zip/11777,11777,136484,7503,2523,4008,0
zip/11778,11778,114848,9512,3024,5152,1
zip/11779,11779,113355,30817,11057,16222,0
zip/11780,11780,151971,12500,3768,7412,0
zip/11782,11782,143822,11720,3310,6898,0
zip/11784,11784,108913,19757,6951,10683,0
zip/11786,11786,162143,4911,1866,2830,0
zip/11787,11787,139239,27463,9026,16181,0
zip/11788,11788,139903,13699,4647,8149,0
zip/11789,11789,123794,5682,2049,3015,0
zip/11790,11790,145545,16588,9531,6258,0
zip/11792,11792,147563,6980,2237,3957,0
zip/11794,11794,,1387,1411,7,0
zip/11795,11795,161533,20346,6858,12007,0
zip/11796,11796,156136,3086,997,1806,0
zip/11798,11798,94409,13832,6997,4869,0
zip/11901,11901,78857,26165,10269,12449,1
zip/11930,11930,139917,675,93,443,0
zip/11931,11931,102422,,,,0
zip/11932,11932,179844,822,202,492,0
zip/11933,11933,84176,5672,1779,2789,0
zip/11934,11934,145275,5875,1783,3139,0
zip/11935,11935,126071,2484,407,1680,0
zip/11937,11937,114290,16993,4863,9629,0
zip/11939,11939,100682,1412,302,915,0
zip/11940,11940,128598,4258,1168,2751,0
zip/11941,11941,119846,2035,482,1381,0
zip/11942,11942,104680,4596,1230,2816,0
zip/11944,11944,78615,4191,1223,2098,0
zip/11946,11946,117342,14132,4712,7898,0
zip/11947,11947,26913,153,,,0
zip/11948,11948,121250,461,77,223,0
zip/11949,11949,125926,10659,2759,6646,0
zip/11950,11950,96165,12138,5754,5466,0
zip/11951,11951,99040,10820,4153,5555,0
zip/11952,11952,107077,4391,1064,2697,0
zip/11953,11953,89802,11114,3849,4708,0
zip/11954,11954,138900,3581,1276,1875,0
zip/11955,11955,77391,2452,701,1438,0
zip/11956,11956,106042,274,76,171,0
zip/11957,11957,86938,1220,321,657,0
zip/11958,11958,65438,680,202,389,0
zip/11959,11959,145341,484,151,311,0
zip/11960,11960,173750,807,144,624,0
zip/11961,11961,85916,10818,3235,5718,0
zip/11962,11962,86375,291,86,125,0
zip/11963,11963,111129,6763,1845,4137,0
zip/11964,11964,98409,2359,724,1449,0
zip/11965,11965,82154,491,218,151,0
zip/11967,11967,109019,21051,7651,10781,1
zip/11968,11968,142500,11369,3128,6346,0
zip/11970,11970,21900,563,,465,0
zip/11971,11971,104720,4802,955,3326,0
zip/11972,11972,91711,279,91,65,0
zip/11973,11973,,39,39,,0
zip/11975,11975,148958,385,135,155,0
zip/11976,11976,185000,2158,387,1277,0
zip/11977,11977,139375,2360,461,1656,0
zip/11978,11978,120909,3264,1245,1633,0
zip/11980,11980,113004,4363,1649,2054,0
